name,price,store,url
Apple iPhone 12 64GB Фиолетовый,64 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_12_64gb_fioletovyy_mjnm3ru_a-2606001.html
OPPO A54 4/64GB черный,14 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/oppo/smartfon_oppo_a54_4_64gb_chernyy_opp_2239.4_64.bk-2618556.html
Samsung Galaxy M12 32Gb Синий,11 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_m12_32gb_siniy_sm_m127flbuser-2654597.html
TECNO Pova 2 4/64Gb Черный,13 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/tecno/smartfon_tecno_pova_2_4_64gb_chernyy_tcn_le7n.64.dabl-2684741.html
POCO M3 Pro 6/128GB Черный,19 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_m3_pro_6_128gb_chernyy_x34425-2679742.html
BQ 6022G Aura Фиолетовый,5 290 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/bq/smartfon_bq_6022g_aura_fioletovyy_4630055245499-2691113.html
Samsung Galaxy S20 FE (2021) 128GB Синий,41 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_s20_fe_2021_128gb_siniy_sm_g780gzbmser-2750770.html
Apple iPhone 13 512GB Тёмная ночь,109 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_13_512gb_temnaya_noch_mlp83ru_a-2804235.html
Apple iPhone 13 Pro 128GB Серебристый,104 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_13_pro_128gb_serebristyy_mlw23ru_a-2804237.html
Xiaomi 11T 8/128Gb Голубой,39 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11t_8_128gb_goluboy_x35021-2847171.html
OPPO A16 3/32GB черный,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/oppo/smartfon_oppo_a16_3_32gb_chernyy_opp_2269.3_32.bk-2859879.html
Huawei Nova 8i 6/128Gb Лунное серебро,19 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/huawei/smartfon_huawei_nova_8i_6_128gb_lunnoe_serebro_51096kmb-2883415.html
